Fecha,Estado_Actual,diadelasemana,findesemana
2020-07-02,1.9196261926204368,3,0
2020-07-03,1.9224159160132201,4,0
2020-07-04,1.5420483556089504,5,1
2020-07-05,1.4606462170313803,6,1
2020-07-06,1.8793764610091142,0,0
2020-07-07,1.9025339121697347,1,0
2020-07-08,1.9111955313178377,2,0
2020-07-09,1.9222322232223221,3,0
2020-07-10,1.9341186792769312,4,0
2020-07-11,1.5771329224854413,5,1
2020-07-12,1.4456979876406275,6,1
2020-07-13,1.866003813674748,0,0
2020-07-14,1.8896589035449298,1,0
2020-07-15,1.9241242320998697,2,0
2020-07-16,1.904759457236842,3,0
2020-07-17,1.8916073127458795,4,0
2020-07-18,1.4768740031897927,5,1
2020-07-19,1.3793539565886173,6,1
2020-07-20,1.7947493096362994,0,0
2020-07-21,1.8141271733860929,1,0
2020-07-22,1.8204216703938778,2,0
2020-07-23,1.8259204445136834,3,0
2020-07-24,1.8140350877192983,4,0
2020-07-25,1.4807982977474503,5,1
2020-07-26,1.3880750098292278,6,1
2020-07-27,1.7745816987121728,0,0
2020-07-28,1.7951199408822192,1,0
2020-07-29,1.8194547081015908,2,0
2020-07-30,1.8237977741794535,3,0
2020-07-31,1.8161568427102626,4,0
2020-08-01,1.4864284462104833,5,1
2020-08-02,1.3731411692809126,6,1
2020-08-03,1.7297529147224353,0,0
2020-08-04,1.7110734433350108,1,0
2020-08-05,1.7127012474319552,2,0
2020-08-06,1.7128472942152186,3,0
2020-08-07,1.7087491509483255,4,0
2020-08-08,1.4628368461222334,5,1
2020-08-09,1.3367892376681614,6,1
2020-08-10,1.6149960152904785,0,0
2020-08-11,1.6093297211327213,1,0
2020-08-12,1.6075505931612002,2,0
2020-08-13,1.602988115449915,3,0
2020-08-14,1.6045839439830647,4,0
2020-08-15,1.4012747267263301,5,1
2020-08-16,1.3415441639527141,6,1
2020-08-17,1.5931032561767082,0,0
2020-08-18,1.5921508272412466,1,0
2020-08-19,1.5854556906561508,2,0
2020-08-20,1.574450605873896,3,0
2020-08-21,1.5875145467435359,4,0
2020-08-22,1.4464510455048598,5,1
2020-08-23,1.3700746756598645,6,1
2020-08-24,1.6366993731261925,0,0
2020-08-25,1.6392871297954053,1,0
2020-08-26,1.6627216517309944,2,0
2020-08-27,1.669585140332215,3,0
2020-08-28,1.7007442172309755,4,0
2020-08-29,1.4807776049766719,5,1
2020-08-30,1.4336762878055518,6,1
2020-08-31,1.8309102485872708,0,0
2020-09-01,1.8486604961907653,1,0
2020-09-02,1.8584667451052972,2,0
2020-09-03,1.8593009673058498,3,0
2020-09-04,1.8922438779322162,4,0
2020-09-05,1.6077175486108126,5,1
2020-09-06,1.5397344801795063,6,1
2020-09-07,1.9278215396835905,0,0
2020-09-08,1.8996052477298488,1,0
2020-09-09,1.9555260807189454,2,0
2020-09-10,2.066486125829114,3,0
2020-09-11,1.4613302275803457,4,0
2020-09-12,1.5727479646327585,5,1
