fecha,intensidad,ocupacion,carga
2019-04-27,175.0,2.0,13.0
2019-04-28,158.0,2.0,12.0
2019-04-29,207.0,4.0,17.0
2019-04-30,217.0,4.0,18.0
2019-05-01,120.0,1.0,9.0
2019-05-02,117.0,1.0,9.0
2019-05-03,168.0,2.0,13.0
2019-05-04,140.0,2.0,10.0
2019-05-05,141.0,2.0,10.0
2019-05-06,198.0,3.0,17.0
2019-05-07,220.0,4.0,19.0
2019-05-08,210.0,4.0,18.0
2019-05-09,217.0,4.0,18.0
2019-05-10,230.0,4.0,19.0
2019-05-11,177.0,2.0,13.0
2019-05-12,152.0,2.0,11.0
2019-05-13,206.0,3.0,17.0
2019-05-14,217.0,4.0,18.0
2019-05-15,149.0,2.0,11.0
2019-05-16,216.0,4.0,18.0
2019-05-17,223.0,4.0,19.0
2019-05-18,168.0,2.0,13.0
2019-05-19,144.0,2.0,11.0
2019-05-20,203.0,3.0,17.0
2019-05-21,205.0,4.0,17.0
2019-05-22,210.0,4.0,18.0
2019-05-23,216.0,4.0,18.0
2019-05-24,229.0,4.0,19.0
2019-05-25,172.0,2.0,13.0
2019-05-26,155.0,2.0,12.0
2019-05-27,206.0,4.0,17.0
2019-05-28,207.0,4.0,18.0
2019-05-29,212.0,4.0,18.0
2019-05-30,218.0,4.0,18.0
2019-05-31,233.0,4.0,19.0
2019-06-01,171.0,2.0,13.0
2019-06-02,150.0,2.0,11.0
2019-06-03,208.0,4.0,17.0
2019-06-04,210.0,4.0,18.0
2019-06-05,213.0,4.0,18.0
2019-06-06,218.0,4.0,18.0
2019-06-07,229.0,4.0,19.0
2019-06-08,168.0,2.0,13.0
2019-06-09,145.0,2.0,11.0
2019-06-10,207.0,4.0,17.0
2019-06-11,204.0,4.0,17.0
2019-06-12,210.0,4.0,18.0
2019-06-13,214.0,4.0,18.0
2019-06-14,223.0,4.0,18.0
2019-06-15,164.0,2.0,12.0
2019-06-16,144.0,2.0,11.0
2019-06-17,202.0,3.0,17.0
2019-06-18,205.0,4.0,17.0
2019-06-19,208.0,4.0,18.0
2019-06-20,215.0,4.0,18.0
2019-06-21,220.0,4.0,18.0
2019-06-22,159.0,2.0,12.0
2019-06-23,144.0,2.0,11.0
2019-06-24,196.0,3.0,16.0
2019-06-25,201.0,3.0,17.0
2019-06-26,207.0,3.0,17.0
2019-06-27,212.0,3.0,18.0
2019-06-28,219.0,4.0,18.0
2019-06-29,159.0,2.0,12.0
2019-06-30,143.0,2.0,11.0
2019-07-01,204.0,3.0,17.0
2019-07-02,199.0,3.0,17.0
2019-07-03,202.0,3.0,17.0
2019-07-04,207.0,3.0,17.0
2019-07-05,209.0,3.0,17.0
2019-07-06,147.0,2.0,11.0
2019-07-07,134.0,2.0,10.0
2019-07-08,208.0,3.0,17.0
2019-07-09,191.0,3.0,16.0
2019-07-10,195.0,3.0,16.0
2019-07-11,206.0,3.0,17.0
2019-07-12,228.0,3.0,18.0
2019-07-13,140.0,2.0,10.0
2019-07-14,127.0,2.0,9.0
2019-07-15,189.0,3.0,16.0
2019-07-16,188.0,3.0,16.0
2019-07-17,192.0,3.0,16.0
2019-07-18,194.0,3.0,16.0
2019-07-19,192.0,3.0,15.0
2019-07-20,134.0,2.0,10.0
2019-07-21,120.0,1.0,9.0
2019-07-22,181.0,3.0,15.0
2019-07-23,182.0,3.0,15.0
2019-07-24,184.0,3.0,15.0
2019-07-25,190.0,3.0,16.0
2019-07-26,189.0,3.0,15.0
2019-07-27,132.0,2.0,10.0
2019-07-28,116.0,1.0,8.0
2019-07-29,180.0,3.0,15.0
2019-07-30,180.0,3.0,15.0
2019-07-31,183.0,3.0,15.0
2019-08-01,172.0,3.0,14.0
2019-08-02,164.0,2.0,13.0
2019-08-03,117.0,1.0,9.0
2019-08-04,104.0,1.0,7.0
2019-08-05,147.0,2.0,12.0
2019-08-06,143.0,2.0,12.0
2019-08-07,144.0,2.0,11.0
2019-08-08,145.0,2.0,12.0
2019-08-09,144.0,2.0,11.0
2019-08-10,106.0,1.0,8.0
2019-08-11,109.0,1.0,8.0
2019-08-12,132.0,2.0,11.0
2019-08-13,132.0,2.0,11.0
2019-08-14,133.0,2.0,11.0
2019-08-15,93.0,1.0,7.0
2019-08-16,120.0,2.0,9.0
2019-08-17,95.0,1.0,7.0
2019-08-18,92.0,1.0,7.0
2019-08-19,135.0,2.0,11.0
2019-08-20,133.0,2.0,11.0
2019-08-21,135.0,2.0,11.0
2019-08-22,136.0,2.0,11.0
2019-08-23,136.0,2.0,11.0
2019-08-24,105.0,1.0,8.0
2019-08-25,99.0,1.0,7.0
2019-08-26,146.0,2.0,12.0
2019-08-27,148.0,2.0,12.0
2019-08-28,154.0,2.0,12.0
2019-08-29,160.0,2.0,13.0
2019-08-30,166.0,2.0,13.0
2019-08-31,129.0,2.0,9.0
2019-09-01,124.0,2.0,9.0
2019-09-02,185.0,3.0,15.0
2019-09-03,189.0,3.0,16.0
2019-09-04,194.0,3.0,16.0
2019-09-05,198.0,3.0,16.0
2019-09-06,204.0,3.0,17.0
2019-09-07,155.0,2.0,11.0
2019-09-08,134.0,2.0,10.0
2019-09-09,196.0,3.0,16.0
2019-09-10,198.0,3.0,17.0
2019-09-11,203.0,3.0,17.0
2019-09-12,208.0,3.0,17.0
2019-09-13,217.0,4.0,18.0
2019-09-14,153.0,2.0,11.0
2019-09-15,128.0,1.0,9.0
2019-09-16,210.0,3.0,17.0
2019-09-17,200.0,3.0,17.0
2019-09-18,204.0,3.0,17.0
2019-09-19,210.0,4.0,17.0
2019-09-20,219.0,4.0,18.0
2019-09-21,161.0,2.0,12.0
2019-09-22,140.0,2.0,10.0
2019-09-23,198.0,3.0,17.0
2019-09-24,201.0,3.0,17.0
2019-09-25,207.0,4.0,17.0
2019-09-26,210.0,4.0,18.0
2019-09-27,222.0,4.0,18.0
2019-09-28,165.0,2.0,12.0
2019-09-29,146.0,2.0,11.0
2019-09-30,203.0,3.0,17.0
2019-10-01,204.0,4.0,17.0
2019-10-02,207.0,4.0,17.0
2019-10-03,214.0,4.0,18.0
2019-10-04,224.0,4.0,19.0
2019-10-05,168.0,2.0,13.0
2019-10-06,145.0,2.0,11.0
2019-10-07,200.0,3.0,17.0
2019-10-08,203.0,4.0,17.0
2019-10-09,207.0,4.0,17.0
2019-10-10,212.0,4.0,18.0
2019-10-11,224.0,4.0,18.0
2019-10-12,152.0,2.0,11.0
2019-10-13,141.0,2.0,10.0
2019-10-14,199.0,3.0,17.0
2019-10-15,201.0,3.0,17.0
2019-10-16,204.0,3.0,17.0
2019-10-17,212.0,4.0,18.0
2019-10-18,222.0,4.0,18.0
2019-10-19,170.0,2.0,13.0
2019-10-20,144.0,2.0,11.0
2019-10-21,200.0,3.0,17.0
2019-10-22,203.0,3.0,17.0
2019-10-23,205.0,4.0,17.0
2019-10-24,212.0,4.0,18.0
2019-10-25,224.0,4.0,18.0
2019-10-26,172.0,2.0,13.0
2019-10-27,145.0,2.0,11.0
2019-10-28,201.0,3.0,17.0
2019-10-29,225.0,4.0,19.0
2019-10-30,214.0,4.0,18.0
2019-10-31,212.0,3.0,17.0
2019-11-01,137.0,2.0,10.0
2019-11-02,140.0,2.0,10.0
2019-11-03,130.0,2.0,10.0
2019-11-04,199.0,3.0,17.0
2019-11-05,202.0,3.0,17.0
2019-11-06,207.0,3.0,17.0
2019-11-07,212.0,4.0,18.0
2019-11-08,226.0,4.0,19.0
2019-11-09,162.0,2.0,12.0
2019-11-10,152.0,2.0,11.0
2019-11-11,201.0,3.0,17.0
2019-11-12,207.0,3.0,17.0
2019-11-13,231.0,4.0,19.0
2019-11-14,211.0,4.0,18.0
2019-11-15,224.0,4.0,18.0
2019-11-16,174.0,2.0,13.0
2019-11-17,143.0,2.0,11.0
2019-11-18,198.0,3.0,17.0
2019-11-19,201.0,3.0,17.0
2019-11-20,205.0,4.0,17.0
