date, pm25, pm10, o3, no2, so2, co
2019/4/1, 28, 9, , 19, , 
2019/4/2, 31, 12, , 14, , 
2019/4/3, 34, 8, , 10, , 
2019/4/4, 21, 5, , 10, , 
2019/4/5, 13, 4, , 5, , 
2019/4/6, 12, 3, , 6, , 
2019/4/7, 10, 5, , 10, , 
2019/4/8, 19, 6, , 7, , 
2019/4/9, 18, 4, , 8, , 
2019/4/10, 12, 5, , 15, , 
2019/4/11, 17, 6, , 17, , 
2019/4/12, 22, 9, , 21, , 
2019/4/13, 33, 8, , 11, , 
2019/4/14, 29, 9, , 13, , 
2019/4/15, 33, 7, , 13, , 
2019/4/16, 22, 9, , 9, , 
2019/4/17, 29, 9, , 6, , 
2019/4/18, 32, 2, , 8, , 
2019/4/19, 10, 7, , 5, , 
2019/4/20, 22, 6, , 6, , 
2019/4/21, 22, 9, , 11, , 
2019/4/22, 29, 10, , 9, , 
2019/4/23, 31, 3, , 9, , 
2019/4/24, 10, 4, , 6, , 
2019/4/25, 10, 6, , 12, , 
2019/4/26, 13, 10, , 26, , 
2019/4/27, 30, 10, , 12, , 
2019/4/28, 28, 9, , 15, , 
2019/4/29, 29, 9, , 13, , 
2019/4/30, 27, 9, , 8, , 
2019/5/1, 25, 7, , 7, , 
2019/5/2, 20, 8, , 9, , 
2019/5/3, 25, 5, , 6, , 
2019/5/4, 14, 5, , 6, , 
2019/5/5, 15, 6, , 13, , 
2019/5/6, 20, 10, , 8, , 
2019/5/7, 32, 7, , 4, , 
2019/5/8, 21, 6, , 5, , 
2019/5/9, 15, 5, , 4, , 
2019/5/10, 12, 8, , 10, , 
2019/5/11, 21, 7, , 7, , 
2019/5/12, 16, 5, , 14, , 
2019/5/13, 12, 9, , 14, , 
2019/5/14, 20, 14, , 19, , 
2019/5/15, 37, 12, , 11, , 
2019/5/16, 30, 12, , 4, , 
2019/5/17, 24, 7, , 3, , 
2019/5/18, 15, 6, , 5, , 
2019/5/19, 17, 8, , 9, , 
2019/5/20, 18, 10, , 12, , 
2019/5/21, 21, 12, , 12, , 
2019/5/22, 30, 19, , 21, , 
2019/5/23, 44, 16, , 7, , 
2019/5/24, 35, 9, , 4, , 
2019/5/25, 21, 8, , 5, , 
2019/5/26, 18, 8, , 11, , 
2019/5/27, 20, 11, , 7, , 
2019/5/28, 21, 9, , 7, , 
2019/5/29, 18, 10, , 10, , 
2019/5/30, 19, 11, , 14, , 
2019/5/31, 24, 15, , 12, , 
2019/6/1, 31, 16, , 9, , 
2019/6/2, 36, 21, , 16, , 
2019/6/3, 48, 21, , 10, , 
2019/6/4, 42, 14, , 3, , 
2019/6/5, 25, 11, , 6, , 
2019/6/6, 19, 13, , 5, , 
2019/6/7, 19, 9, , 5, , 
2019/6/8, 21, 18, , 5, , 
2019/6/9, 35, 12, , 8, , 
2019/6/10, 27, 11, , 7, , 
2019/6/11, 25, 8, , 10, , 
2019/6/12, 16, 14, , 9, , 
2019/6/13, 27, 17, , 9, , 
2019/6/14, 33, 13, , 5, , 
2019/6/15, 22, 13, , 8, , 
2019/6/16, 26, 16, , 16, , 
2019/6/17, 31, , , 5, , 
2019/6/19, 18, 11, , 9, , 
2019/6/20, 23, 12, , 7, , 
2019/6/21, 30, 12, , 6, , 
2019/6/22, 30, 19, , 13, , 
2019/6/23, 45, 22, , 9, , 
2019/6/24, 43, 20, , 11, , 
2019/6/25, 35, 29, , 10, , 
2019/6/26, 52, 42, , 9, , 
2019/6/27, 59, 41, , 14, , 
2019/6/28, 56, 27, , 11, , 
2019/6/29, 50, 28, , 9, , 
2019/6/30, 52, 29, , 12, , 
2019/1/1, 73, 36, 4, 35, , 
2019/1/2, 80, 26, 8, 29, , 
2019/1/3, 59, 34, 3, 36, , 
2019/1/4, 71, 28, 3, 31, , 
2019/1/5, 69, 28, 5, 34, , 
2019/1/6, 71, 22, 6, 33, , 
2019/1/7, 55, 28, 8, 34, , 
2019/1/8, 58, 23, 8, 29, , 
2019/1/9, 50, 11, 14, 18, , 
2019/1/10, 25, 20, 7, 30, , 
2019/1/11, 42, 22, 12, 24, , 
2019/1/12, 55, 23, 7, 26, , 
2019/1/13, 64, 44, 2, 42, , 
2019/1/14, 96, 47, 7, 37, , 
2019/1/15, 92, 34, 11, 25, , 
2019/1/16, 71, 36, 2, 28, , 
2019/1/17, 88, 39, 10, 25, , 
2019/1/18, 83, 25, 9, 20, , 
2019/1/19, 66, 17, 21, 15, , 
2019/1/20, 54, 14, 16, 24, , 
2019/1/21, 38, 16, 17, 10, , 
2019/1/22, 49, 10, 28, 8, , 
2019/1/23, 27, , 29, , , 
2019/1/25, 29, , 13, , , 
2019/1/28, 14, 9, 27, 9, , 
2019/1/29, 19, 8, 30, 8, , 
2019/1/30, 19, 6, , 5, , 
2019/1/31, 16, 6, 32, 6, , 
