date, pm25, pm10, o3, no2, so2, co
2019/5/3, 29, 8, , 6, 4, 
2019/5/4, 19, 8, , 7, 4, 
2019/5/5, 18, 10, , 19, 5, 
2019/5/6, 23, 17, , 12, 5, 
2019/5/7, 35, 13, , 7, 4, 
2019/5/8, 23, 12, , 12, 5, 
2019/5/9, 23, 12, , 9, 4, 
2019/5/10, 24, 14, , 8, 3, 
2019/5/11, 28, 11, 37, 5, 3, 
2019/5/12, 21, 8, 29, 12, 3, 
2019/5/13, 19, 12, 41, 16, 4, 
2019/5/14, 23, 19, 37, 15, 4, 
2019/5/15, 40, 16, 30, 13, 3, 
2019/5/16, 33, 21, 28, 11, 3, 
2019/5/17, 30, 8, , 7, 3, 
2019/5/18, 14, 7, , 8, 3, 
2019/5/19, 17, 9, , 13, 5, 
2019/5/20, 21, 11, , 15, 5, 
2019/5/21, 29, 13, , 15, 5, 
2019/5/22, 35, 21, , 21, 4, 
2019/5/23, 48, 20, , 7, 4, 
2019/5/24, 34, 10, , 4, 4, 
2019/5/25, 16, 7, , 5, 3, 
2019/5/26, 13, 9, , 14, 4, 
2019/5/27, 18, 10, , 7, 3, 
2019/5/28, 16, 10, , 6, 4, 
2019/5/29, 15, 8, , 7, 3, 
2019/5/30, 13, 11, , 13, 4, 
2019/5/31, 19, 18, , 13, 4, 
2019/6/1, 30, 16, , 12, 3, 
2019/6/2, 30, 20, , 21, 4, 
2019/6/3, 39, 25, , 12, 4, 
2019/6/4, 44, 17, , 11, 3, 
2019/6/5, 24, 16, , 13, 4, 
2019/6/6, 20, 16, , 13, 5, 
2019/6/7, 25, 11, , 9, 4, 
2019/6/8, 18, 19, , 9, 4, 
2019/6/9, 31, 14, , 14, 4, 
2019/6/10, 23, 13, , 8, 4, 
2019/6/11, 24, 11, , 15, 4, 
2019/6/12, 15, 16, , 15, 5, 
2019/6/13, 28, 19, 33, 15, 5, 
2019/6/14, 35, 16, 41, 9, 4, 
2019/6/15, 29, 14, 42, 14, 4, 
2019/6/16, 25, 20, 38, 20, 5, 
2019/6/17, 35, 23, 32, 16, 4, 
2019/6/18, 42, 18, 21, 10, 4, 
2019/6/19, 32, 17, 23, 13, 4, 
2019/6/20, 28, 16, 33, 11, 4, 
2019/6/21, 32, 14, 40, 11, 4, 
