fecha,pm10,no2,intensidad,PCA1,PCA2,PCA3,PCA4
2019-04-25,9.0,13.5,304.5,6.81209539521844,7.338639011148421,-2.559441210248169,-5.109094894683086
2019-04-26,12.0,23.5,312.75,3.406580949969624,-8.18140128929494,-1.7841245833228845,-1.799476407145006
2019-04-27,13.5,13.0,203.25,-15.03540607356076,-8.974361583293847,-3.9987261364321722,-1.1556163199354441
2019-04-28,11.0,16.0,168.0,-14.675529418913797,-3.8981934679689982,-0.019782385317742505,-1.3664487863383499
2019-04-29,13.0,15.5,297.25,-4.4417381106037235,-1.0199068361480121,3.9484819190914706,-1.7449518508385138
2019-04-30,13.5,7.5,314.0,-11.741160165250434,3.0509490769922563,3.0916097035922303,-2.337671765292044
2019-05-01,9.5,7.5,132.0,-9.762981039607256,7.452913029414366,2.7697416857950263,-2.0569271199374475
2019-05-02,11.5,10.0,135.0,-7.198436597176195,5.707475781622181,3.798937101026696,-2.7430225872147034
2019-05-03,8.5,7.0,225.0,-11.205927227074794,8.066825917194997,0.21900082894632464,-4.201221286311127
2019-05-04,8.0,7.5,161.25,5.791908710135473,1.8906606912528283,2.1773842398455576,-3.687946209987929
2019-05-05,10.5,18.5,158.0,-10.336139154350338,2.365954516103321,0.31221886861982384,-3.337001252731208
2019-05-06,16.0,11.0,271.5,4.639371587899112,-2.554427166268959,3.5690253750015777,-2.1599362910974427
2019-05-07,13.0,7.0,308.0,6.222344126251044,0.31514290988608856,3.8857299087418924,-1.5244938947503897
2019-05-08,11.5,10.5,304.5,4.988824968201016,7.333043433108914,1.3990805384621479,-1.6467607435497298
2019-05-09,10.0,8.0,308.0,5.94924119460625,3.3836584067111484,3.3563422389313606,-3.41074306339469
2019-05-10,12.5,11.0,317.0,40.83126991337589,-7.868640569783711,12.441619307894893,-0.4363795911970472
2019-05-11,11.0,8.0,203.75,-14.833096692418117,-2.4293466539863307,2.864324454557557,-1.3156511951534775
2019-05-12,10.0,17.0,166.5,-15.283662932585042,-6.053168560260926,1.1144855262562017,-0.7560172607000613
2019-05-13,13.5,16.5,292.25,-13.817096000094477,-1.0892097563964418,4.323576591417617,-1.243180096771103
2019-05-14,19.0,20.5,311.0,-10.483470775434908,0.5286133240996232,4.788750456406376,-1.6216697244881846
2019-05-15,16.0,13.0,168.25,10.531138096593521,2.7401902404534932,11.522866619550935,-1.5425474374517663
2019-05-16,19.0,10.0,303.25,10.639455248867696,10.97693968656631,9.183325502188111,-3.7261116551020885
2019-05-17,7.5,6.5,306.0,10.512207422501566,9.422537863454465,1.7633613207982142,-3.4946262269569544
2019-05-18,6.0,8.0,190.25,9.927530583581316,6.33344666291409,1.331592870336394,-4.1893921061173485
2019-05-19,8.5,14.0,159.0,7.1766795341609635,4.420243586428914,3.0702283046621037,-3.9438396426522453
2019-05-20,11.0,17.0,291.25,-12.303942404476036,6.98387671381264,-1.208019010188325,-2.936293436955971
2019-05-21,13.5,15.0,296.5,-16.267028869094254,5.164807825575966,1.6449057013959265,-1.3926939907301792
2019-05-22,20.5,21.0,297.0,-13.404973162531899,0.9132361207643008,4.143627842825321,-1.6977607927655642
2019-05-23,18.0,9.5,303.5,4.41156876160276,-0.19557729080676736,7.594187650645944,-0.7028366221210202
2019-05-24,10.0,5.5,311.0,-13.58445100632383,3.7620769745984783,3.0230619371845204,-2.9035603996405075
2019-05-25,8.0,6.5,195.0,-14.166678222276907,-0.36095417784809,1.3387507976629578,-2.4387314753889093
2019-05-26,9.5,14.5,169.0,75.81381846183048,-17.173823901583425,17.48269237010402,0.7809462130945404
2019-05-27,11.0,8.5,291.5,6.704332225027006,1.5428592411958773,8.443902168990354,-1.8534042483139088
2019-05-28,10.5,8.5,299.5,-15.085037330663633,1.8380496260924637,3.367806748112475,-2.0941519445828853
2019-05-29,10.0,11.5,300.0,-15.110154894329572,-4.959065326083756,1.410603482904081,-1.1800315864836535
2019-05-30,12.0,15.5,300.0,-16.86284768618921,-6.184740604026919,3.9796476355692287,-0.09105896225830092
2019-05-31,18.0,12.5,304.5,-12.268370041418876,-6.176055927289569,7.173054030237533,0.5119820553008573
2019-06-01,17.5,11.0,191.0,-6.125956518941249,-4.769366709641406,9.129459355840844,0.43082107340661624
2019-06-02,20.5,19.5,162.0,2.9811596168124264,-3.643726090167104,11.654260291430962,0.9218895530289092
2019-06-03,22.0,11.0,294.0,0.8121058348178828,1.0915305176964714,12.24409566774549,-0.579591122164053
2019-06-04,16.0,8.0,297.5,4.17927476212079,6.215137126783404,10.844994344591,-2.4805280118718978
2019-06-05,12.5,12.0,302.0,10.137103284116808,5.418485345999526,5.512116755385364,-3.966869955807887
2019-06-06,14.5,10.5,304.0,3.3836359220664334,7.311897538876605,4.690805394282315,-3.36582511187531
2019-06-07,10.5,8.0,305.75,5.882326658845166,2.5756687374419704,2.8988361674155154,-3.754081002712825
2019-06-08,19.0,7.5,188.0,-3.6281826948837663,-1.3965273068116069,4.806874731710408,-0.239324348951084
