date, pm10, o3, no2, so2, co
2019/9/13, 14, 57, 3, , 
2019/9/14, 14, 48, 2, , 
2019/9/15, 16, 45, 5, , 
2019/9/16, 18, 36, 13, 1, 
2019/9/17, 21, 52, 5, 1, 
2019/9/18, 29, 43, 7, , 
2019/9/19, 24, 47, 5, , 
2019/9/20, 18, 37, 3, , 
2019/9/21, 18, 32, 5, , 
2019/9/22, 15, 30, 3, , 
2019/9/24, 14, 34, 8, , 
2019/9/25, 18, 37, 5, 1, 
2019/9/26, 14, 36, 5, 3, 
2019/9/27, 17, 34, 4, , 
2019/9/28, 17, 43, 2, , 
2019/9/29, 19, 35, 6, , 
2019/9/30, 20, 44, 3, , 
2019/5/8, 19, 36, 4, , 
2019/5/9, 16, 42, 6, , 
2019/5/10, 17, 41, 11, , 
2019/5/11, 18, 41, 5, , 
2019/5/12, 14, 43, 2, , 
2019/5/13, 14, 46, 3, , 
2019/5/14, 17, 46, 7, , 
2019/5/15, 19, 46, 3, , 
2019/5/16, 15, 52, 6, , 
2019/5/17, 11, 42, 9, , 
2019/5/18, 4, 40, 3, 2, 
2019/5/19, 5, 40, 3, 1, 
2019/5/20, 4, 43, 4, , 
2019/5/21, 9, 47, 5, , 
2019/5/22, 16, 45, 7, , 
2019/5/23, 15, 46, 2, , 
2019/5/24, 12, 50, 6, , 
2019/5/25, 8, 40, 1, , 
2019/5/26, 8, 36, 3, , 
2019/5/27, 9, 34, 4, , 
2019/5/28, 11, 30, 5, , 
2019/5/29, 14, 32, 4, , 
2019/5/30, 14, 35, 6, , 
2019/5/31, 15, 37, 7, 1, 
2019/6/1, 14, 45, 4, 1, 
2019/6/2, 12, 50, 3, 1, 
2019/6/3, 12, 47, 4, , 
2019/6/4, 12, 46, 4, , 
2019/6/5, 13, 43, 3, , 
2019/6/6, 18, 32, 7, , 
2019/6/7, 18, 43, 3, , 
2019/6/8, 19, 44, 3, , 
2019/6/9, 13, 45, 3, , 
2019/6/10, 22, 47, 2, , 
2019/6/11, 17, 30, 6, , 
2019/6/12, 6, 38, 3, , 
2019/6/13, 9, 39, 5, , 
2019/6/14, 16, 43, 4, , 
2019/6/15, 27, 39, 4, , 
2019/6/16, 20, 41, 3, 1, 
2019/6/17, 17, 52, 6, , 
2019/6/18, 17, 48, 3, , 
2019/6/19, 18, 46, 6, , 
2019/6/20, 22, 37, 5, , 
2019/6/21, 15, 38, 5, , 
2019/6/22, 12, 44, 4, , 
2019/6/23, 16, 45, 3, , 
2019/6/24, 20, 46, 2, , 
2019/6/25, 19, 44, 2, , 
2019/6/26, 20, 51, 3, 1, 
2019/6/27, 18, 49, 13, 1, 
2019/6/28, 30, 50, 12, 1, 
2019/6/29, 40, 101, 4, , 
2019/6/30, 37, 74, 8, , 
2020/10/12, , 34, 4, , 
2020/10/13, , 29, 2, , 
2020/11/29, , 22, 12, , 
2020/11/30, , 20, 5, , 
2020/12/8, , 23, 2, , 
2020/12/20, , 20, 4, , 
2020/12/21, , 24, 3, , 
2020/12/30, , 28, 1, , 
2020/8/30, , 36, 2, , 
2020/8/31, , 34, 5, , 
2020/9/1, , 43, 2, , 
2020/9/12, , 48, 3, , 
2020/9/23, , 32, 2, , 
2020/4/25, , 36, 2, , 
2020/4/26, , 32, 2, , 
2020/6/2, , 39, 1, , 
2019/12/31, , 21, 5, , 
2020/2/16, , 31, 6, , 
2020/2/17, , 29, 8, , 
2019/10/1, , 32, 4, 1, 
2019/11/10, , 25, 1, , 
2019/9/11, , 47, 6, , 
2019/9/23, , 40, 6, 1, 
2019/5/7, , 39, 4, , 
2020/12/19, , , , , 
2020/11/28, , , , , 
