date,pm10,no2,year,month,day,week,season,season_name,estado_trafico,diadelasemana,findesemana,PCA1,PCA2,PCA3,PCA4
2018-12-16,10.0,17.0,2018,12,16,50,1,Winter,1.7075258775001945,6,1,4.871651438427391,0.0894032681458903,0.6820261034296948,-6.4885875694046025
2018-12-17,11.0,26.0,2018,12,17,51,1,Winter,2.14247311827957,0,0,6.175425839280293,-9.92710413504819,3.120969434235609,-6.178230917861167
2018-12-18,19.0,23.0,2018,12,18,51,1,Winter,2.1296090843829543,1,0,3.3936997914234124,-11.444823952108221,3.9658828416240866,-9.218096801462682
2018-12-19,22.0,26.0,2018,12,19,51,1,Winter,2.2200960084171757,2,0,5.945187743206453,-4.042837074624985,1.5399828602984666,-5.496894352695829
2018-12-20,20.0,24.0,2018,12,20,51,1,Winter,2.3331109763493028,3,0,6.383381183666187,-12.8962996322944,3.5068357428658183,-6.463757059513495
2018-12-21,26.0,23.0,2018,12,21,51,1,Winter,1.9278959018042796,4,0,2.5058656592330797,-17.935531074451283,4.757682172394291,-6.240692054368708
2018-12-22,17.0,21.0,2018,12,22,51,1,Winter,1.8900154798761608,5,1,4.486874046766823,-17.928205313433367,4.119944605411329,-4.12191583121059
2018-12-23,20.0,19.0,2018,12,23,51,1,Winter,1.7366048647729206,6,1,12.461172517145524,-17.742793441766196,4.481874977369701,-4.151856462810858
2018-12-24,18.0,18.0,2018,12,24,52,1,Winter,1.9348271718385524,0,0,12.35491156364941,-14.466595051582429,3.0848027368916453,-2.777329382207039
2018-12-25,24.0,20.0,2018,12,25,52,1,Winter,1.7170918575271008,1,0,11.539163002625733,-17.837519972761733,4.87820023499106,-5.843987491221943
2018-12-26,24.0,16.0,2018,12,26,52,1,Winter,1.7276463745637844,2,0,-3.35279979530903,-19.050446303539516,5.300676350769671,-8.53687540060654
2018-12-27,23.0,17.0,2018,12,27,52,1,Winter,1.8073043266893531,3,0,9.492180204879038,-15.61883639199855,4.219556165077681,-6.340059230148241
2018-12-28,20.0,14.0,2018,12,28,52,1,Winter,1.936193980812196,4,0,12.551757087881489,-16.382639430294475,4.5402754565504075,-6.983695971487046
2018-12-29,19.0,16.0,2018,12,29,52,1,Winter,1.7192477126397832,5,1,11.582914610984213,-17.843629509304176,5.084687743799036,-7.344450186800724
2018-12-30,16.0,17.641379310344828,2018,12,30,52,1,Winter,1.6461387200572042,6,1,11.511357921515154,-16.82622793718802,4.542468756593467,-6.220456490807006
2018-12-31,23.712691771269174,19.0,2018,12,31,1,1,Winter,1.8081654214776244,0,0,11.49030986335199,-17.210224285007154,4.670420293999081,-5.837555755823944
2019-01-01,31.0,20.0,2019,1,1,1,1,Winter,1.5487457747731719,1,0,-22.401071273216886,-18.917225960151562,3.9359314422026896,-7.5551450099022
2019-01-02,16.0,23.0,2019,1,2,1,1,Winter,1.9199233151452588,2,0,-22.499782290171193,-15.27485163149492,2.8096043711966705,-7.476284656642449
2019-01-03,22.0,26.0,2019,1,3,1,1,Winter,1.9477143710785776,3,0,12.607820037244554,-17.874092320734643,5.218130104010929,-8.076875236218914
2019-01-04,26.0,19.0,2019,1,4,1,1,Winter,1.9773457943925237,4,0,11.699219002291494,-19.74264489027432,6.318008467541366,-9.75689975520141
2019-01-05,25.0,17.0,2019,1,5,1,1,Winter,1.7578288100208768,5,1,2.594053518453813,-17.900605133583543,4.4156036652594715,-6.794735069370487
2019-01-06,18.0,22.0,2019,1,6,1,1,Winter,1.77329928871056,6,1,9.339825515356903,-13.318643617343406,3.1115330175553444,-4.449522086853791
2019-01-07,22.0,18.0,2019,1,7,2,1,Winter,1.9725819698022615,0,0,0.5495271508217799,-16.99448776367514,4.765683576837616,-8.030026273802385
2019-01-08,24.0,20.0,2019,1,8,2,1,Winter,1.9981875217845941,1,0,6.366637811885402,-11.737927192664058,3.786954084774095,-8.603603537410164
2019-01-09,24.0,23.0,2019,1,9,2,1,Winter,2.0119266730471908,2,0,-15.950500454839727,-1.2930958062313895,-0.7331089784931429,-7.254986122828127
2019-01-10,21.0,23.0,2019,1,10,2,1,Winter,2.0538128903836914,3,0,11.110298975311649,-1.8937586738146337,0.987755281503942,-8.713440110194078
2019-01-11,24.0,18.0,2019,1,11,2,1,Winter,2.1260472488489697,4,0,9.463474698057238,-10.268334621053988,3.42702031300378,-10.442135315421112
2019-01-12,25.0,15.0,2019,1,12,2,1,Winter,1.8214936247723128,5,1,5.483463474625186,-13.82733423628909,4.1180638499056474,-8.988995261822277
2019-01-13,23.712691771269174,20.0,2019,1,13,2,1,Winter,1.6506888633754306,6,1,12.244249307955064,-7.463350207794303,2.5063603518911273,-7.480379270390818
2019-01-14,16.0,26.0,2019,1,14,3,1,Winter,2.006166028428636,0,0,7.079826437193378,-3.478317723237298,0.9946285226493154,-5.9388947836303485
2019-01-15,28.0,28.0,2019,1,15,3,1,Winter,2.033333333333333,1,0,3.256640694874565,-7.950022358553507,1.7788872454152254,-6.807656167150335
2019-01-16,35.0,21.0,2019,1,16,3,1,Winter,2.0262119692410563,2,0,-0.9110104608342003,-2.8667970244374654,1.2329274343785988,-8.379435993567947
2019-01-17,31.0,16.0,2019,1,17,3,1,Winter,2.033910034602076,3,0,10.9506211012121,-0.570306696764463,0.967915118889344,-5.965463162310408
2019-01-18,19.0,16.0,2019,1,18,3,1,Winter,2.10665451230629,4,0,11.151156687875513,-1.7686244639442175,1.7562682739345061,-10.44792970756218
2019-01-19,17.0,20.0,2019,1,19,3,1,Winter,1.8666713820908192,5,1,10.893330896529363,3.540053875521667,2.8591260428807765,-6.699614442867565
2019-01-20,17.0,22.0,2019,1,20,3,1,Winter,1.6766693701000268,6,1,-14.707112672182824,10.286699468211989,11.863154173143258,-8.588282571894977
2019-01-21,17.0,17.0,2019,1,21,4,1,Winter,2.0897567409144195,0,0,11.136499497742479,-0.6854323538101479,-0.04768197145189208,-7.875993181540517
2019-01-22,18.0,13.0,2019,1,22,4,1,Winter,2.1220247295208656,1,0,0.9641394894572707,6.692760227164247,-1.8023038189245224,-10.353381779829157
2019-01-23,10.0,13.0,2019,1,23,4,1,Winter,2.098592765259432,2,0,1.441809424163503,21.832253854346295,-6.065905571746921,-9.144702776353672
2019-01-24,8.0,29.0,2019,1,24,4,1,Winter,2.0131291028446388,3,0,8.445115914163997,16.62253163980314,-4.169503321042084,-7.97284569617545
2019-01-25,17.0,23.0,2019,1,25,4,1,Winter,2.080452690738317,4,0,11.991506771539182,4.401301312956857,-1.6657654651637295,-7.544691919147793
2019-01-26,25.0,12.0,2019,1,26,4,1,Winter,1.8001503257056957,5,1,-2.0255341527909745,1.0749333996961692,-1.0714360581224183,-6.6785375579418265
2019-01-27,16.0,14.0,2019,1,27,4,1,Winter,1.6100099556520953,6,1,6.518707782289118,12.047590354191119,-3.1034917828256208,-6.271451080103313
